date,temp_max,temp_min,temp_mean,feels_like_max,feels_like_min
2024-04-28,32.2,24.7,28,39.5,29.9
2024-04-29,32.9,25.4,28.8,38.5,31
2024-04-30,31.6,25.5,27.9,37.9,31.1
2024-05-01,30.6,24.5,27.4,36.5,29.3
2024-05-02,32,24.9,27.8,38.1,29.9
2024-05-03,32,25.1,27.8,39.5,29.5
2024-05-04,32.3,24.5,28,38.9,29.7
2024-05-05,31.5,24.7,28.2,38.9,30.4
2024-05-06,31.2,25.1,27.8,37.8,29.1
2024-05-07,32.3,25,28.7,38.4,30.1
2024-05-08,31.5,25,28.4,37.6,30.2
2024-05-09,31.6,24.5,28,37,29.8
2024-05-10,32.2,25.6,28.4,38.9,30.3
2024-05-11,32.8,24.6,27.8,40,29.9
2024-05-12,33.5,24.5,28.6,39.1,29.9
2024-05-13,31.5,24.9,27.2,38.6,30.4
2024-05-14,30.2,24.4,27.1,36.6,29.6
2024-05-15,32.8,25.2,28.8,38.2,31.2
2024-05-16,32,25,28,39.2,30.5
2024-05-17,32.3,25,28.2,38.3,30.9
2024-05-18,32.7,25.1,28.1,38.9,30.5
2024-05-19,32.3,24.6,28.2,38.5,29.8
2024-05-20,33.4,24.7,28.5,38.6,30.1
2024-05-21,31.5,24,28.3,37.7,28.6
2024-05-22,31,25.1,27.5,37.8,30.7
2024-05-23,29.9,24.6,26.9,36,29.8
2024-05-24,30.7,25,26.7,37.8,29.6
2024-05-25,26.3,24.5,25.3,31.9,29.7
2024-05-26,31.9,25.1,28.3,37.2,30.7
2024-05-27,33,25.4,28.6,39.9,30.9
2024-05-28,32.1,25.1,28,38.5,30.4
2024-05-29,31.8,24.6,27.6,37.7,29.9
2024-05-30,31.7,24,27.8,38.2,29.1
2024-05-31,32.3,25.2,28.2,39,30.8
2024-06-01,31,25.5,27.5,37.3,30.5
2024-06-02,31.2,25.1,27.4,37.5,31.1
2024-06-03,30.8,24.1,26.6,38.7,29.3
2024-06-04,32.2,25.2,28.2,38.4,30.1
2024-06-05,31.5,24,27.7,38.4,28.9
2024-06-06,32.2,23.8,28,37.5,28.5
2024-06-07,31.1,24.4,27.6,36.7,29.5
2024-06-08,31.7,24.2,27.9,36.8,28.9
2024-06-09,30.5,24.3,27.1,36.9,29.3
2024-06-10,31.6,24.8,27.7,37.7,30.4
2024-06-11,29.2,24.3,26.2,35,29.1
2024-06-12,30,24.2,26.2,35.3,28.7
2024-06-13,30.2,24,26.7,35.3,29
2024-06-14,31,24.8,27.5,36.7,29.8
2024-06-15,31.3,24.1,27,37.9,29
2024-06-16,29.6,24.1,26.4,36.1,29.4
